gene_name,CD34 shRNA SC,CD34 shRNA HRI 1,CD34 shRNA HRI 2,HUDEP2_nontargeting_sgRNA_undifferentiated_rep1,HUDEP2_HRI_sgRNA5_undifferentiated_rep1,HUDEP2_nontargeting_sgRNA_undifferentiated_rep2,HUDEP2_HRI_sgRNA5_undifferentiated_rep2,HUDEP2_nontargeting_sgRNA_differentiated_rep1,HUDEP2_HRI_sgRNA5_differentiated_rep1,HUDEP2_nontargeting_sgRNA_differentiated_rep2,HUDEP2_HRI_sgRNA5_differentiated_rep2
DERA,851,137,472,2414,2649,3177,3089,680,502,645,725
STRAP,2473,1330,2533,8027,9983,9693,9631,3708,2573,3695,2841
ABCC2,29,38,35,32,14,22,20,26,62,38,57
DEF6,359,138,194,398,301,580,532,11,8,30,11
PLEKHO1,56,18,37,1,11,4,4,6,5,15,13
GCLM,6896,7201,12412,1306,1362,1547,1426,9626,7916,10452,8598
UBR2,7613,13289,14484,6880,7654,8961,9021,26505,29582,28141,32048
EHD2,93,80,41,76,75,218,143,37,34,34,61
DEPDC1,8224,4404,6071,3635,4143,4784,5294,10191,9416,10919,10604
CCDC28A,1073,1353,2349,1170,1587,1584,1504,3804,4105,3944,3983
RRAGD,916,451,915,107,147,51,62,32,26,39,35
HSF2,1373,1090,2261,2379,2598,2481,2607,3508,3509,3966,3614
PHF20,1944,1520,2091,2417,2876,3058,3000,2103,1863,2323,1888
HSD17B6,79,51,139,33,35,44,44,56,70,65,105
NR1H3,130,47,197,95,97,172,153,75,131,111,63
TYMP,144,112,128,102,84,109,115,87,89,81,111
NCAPH2,1039,438,1062,1168,1143,1022,942,1033,1250,1148,1186
TOMM34,283,250,272,1198,1423,1314,1360,216,114,249,176
SEC63,1670,703,1313,3426,4407,3870,3917,1801,1404,2041,1444
KPNA6,3865,3725,9891,4525,5029,5091,4864,5729,5305,5812,5806
VIM,1164,1251,1310,22951,27140,25254,31888,526,211,605,266
RTEL1-TNFRSF6B,251,66,243,203,164,122,169,79,172,97,288
FAS,1485,1661,3314,391,281,365,354,659,498,737,590
RNASET2,193,98,146,364,325,289,324,27,41,42,55
CD44,2470,2644,2604,2505,3450,3256,3301,1737,2118,1828,2324
KCNG1,17,19,34,10,15,31,26,21,18,18,14
AGPAT4,2439,7600,6521,287,352,370,323,13107,13302,13371,13058
SLAMF7,65,35,60,16,33,25,31,38,24,30,41
BTN3A1,205,36,110,204,262,542,473,164,77,131,107
MIPEP,1807,168,1251,2455,2871,2655,2945,160,127,183,146
PRKCH,233,113,145,91,94,106,87,145,115,216,171
INSRR,1,8,0,0,0,0,0,5,2,6,0
IFNGR1,418,226,322,1666,1814,1698,1848,467,303,569,486
B4GALT7,98,112,99,279,304,259,276,66,72,51,46
SH2D2A,35,24,11,11,8,37,26,22,9,10,8
VRK2,2710,923,3182,3307,3779,3565,3488,3117,2564,3423,3268
TNFRSF1B,596,151,316,132,120,99,89,133,121,169,120
VEZT,2647,3471,4347,3085,3648,4042,4063,2206,1864,2455,1947
POU2F2,52,57,111,26,29,63,56,114,171,174,199
BRD9,2042,1320,1818,2263,2685,2342,2385,1588,1346,1907,1806
SNX1,2117,1880,3264,2098,2232,2905,2340,2011,1823,2027,1924
TBPL1,2156,2532,4611,2881,3323,4044,3985,9085,8285,9694,8235
ARNTL2,465,148,227,1641,1856,2534,2060,109,112,99,113
BCLAF1,15190,9366,14457,36399,45031,38905,41066,19006,16247,21317,18369
SLC39A9,2204,1850,2443,3847,3927,3924,4036,1787,1386,1863,1414
ANK1,49696,57537,91863,26901,29629,31015,28013,118762,124243,123423,142194
IBSP,0,0,0,0,0,1,0,0,4,0,0
TFB1M,562,148,371,1408,1630,1671,1823,297,260,318,260
RABEP1,7083,8083,10440,10191,11615,12675,12956,6006,5290,6407,5825
HMGB3,3355,1630,3102,3019,3490,3883,3453,1529,1522,1827,1683
NUP160,3792,885,2252,6825,8139,7629,8104,2314,1921,2209,2180
BAK1,126,26,118,245,205,234,214,137,87,112,104
MUSK,10,1,4,5,0,0,0,2,1,2,1
IKZF2,1081,428,602,1374,1759,2027,2469,103,29,102,36
GRN,833,1062,471,601,571,831,723,580,647,625,556
FAM13B,2431,1878,2242,2646,2896,2686,2885,1984,2132,2066,2405
ARHGAP31,114,162,127,29,30,33,13,73,76,50,125
CENPQ,1271,514,920,1332,1422,1687,1631,2147,2460,2645,2890
SARS,10433,11205,11407,11491,13084,11831,12328,12996,12382,15448,14153
RANBP3,740,479,1124,1760,1904,1810,1819,1446,1197,1434,1319
ARID4A,3280,3342,4675,1929,2283,2813,2645,6415,5991,6613,7568
EIPR1,602,153,408,1266,1377,1416,1214,182,125,200,109
PNPLA6,986,1494,2597,1407,1332,1199,1101,1858,1878,1917,2086
IFT88,394,282,869,1005,1118,1179,1232,405,323,398,389
ALG1,301,80,219,1417,1536,1284,1229,172,84,198,101
ZCCHC8,4351,4392,9850,2010,2422,2553,2607,12057,14246,11652,14233
ABCF2,1722,1189,1739,5831,7244,6626,7130,1851,1587,2299,1701
CHPF2,1080,1182,1401,726,889,838,736,1544,1415,1491,1411
LRRC7,324,148,127,98,118,156,144,147,117,163,179
FUT8,1334,321,585,1516,1669,1645,1683,403,131,315,185
UBA6,4449,2632,3542,9896,11251,12189,13125,6231,5317,6937,5936
GAB2,629,250,413,1063,881,1402,1035,423,200,717,177
ATP6V0A1,5157,5622,15135,1732,2070,2229,2173,4783,5262,4894,5386
PIAS1,2555,2442,3333,1968,2262,2282,2472,2820,2851,3037,3132
SLC4A7,451,111,177,3323,3806,4237,4630,277,222,234,178
APBA2,51,24,7,2,3,3,3,1,0,0,0
MAP2K3,1141,1955,3499,512,601,645,481,3135,3491,2907,3460
EFCAB1,22,0,1,7,2,4,1,1,6,7,9
TMSB10,2547,1254,1931,32419,40726,44029,43465,1342,548,1199,444
ASTE1,508,239,421,515,571,640,478,337,332,461,349
RNF19A,6352,12821,16286,4784,5836,5280,5500,13758,16970,14665,18861
PEX3,273,54,121,1731,2096,1873,1841,190,116,221,180
GABARAPL2,2707,3659,5857,1242,1625,1551,1697,5365,5604,5867,5787
MYOC,0,3,1,3,0,0,0,0,3,0,1
SH3YL1,409,222,501,831,1207,1238,1176,280,243,225,204
FAM136A,844,139,346,4011,4833,3589,3608,302,180,317,194
VCL,3517,2984,7060,4530,5196,4780,4531,2522,2387,2976,2536
DEPDC1B,2004,1095,2508,1963,2207,2425,2555,2192,1845,2350,2217
DAPK2,174,158,241,94,83,109,91,109,88,107,151
NSMAF,1356,492,959,4247,4584,4444,5003,381,229,376,228
ADSS,1863,635,1152,5988,6852,7404,7800,1460,1121,1674,995
STAP1,130,83,193,2618,3790,2671,3246,66,27,80,44
TIMP2,31,36,49,18,16,5,10,7,25,18,21
RFC1,6579,2298,4904,6459,7846,8346,8347,6038,5477,7359,6760
TBC1D23,6925,8978,12542,9430,10946,11090,11454,10156,9840,10487,10115
CUL3,4148,4515,5947,6620,8291,8517,8673,5125,5343,5983,5938
MYOM2,33,6,18,18,50,19,34,21,5,19,13
OTC,0,0,0,0,0,3,0,0,0,0,0
CYP46A1,700,441,571,403,377,536,591,648,689,617,812
ZZZ3,2902,1440,2367,5697,6310,6452,6409,2048,1496,2152,1714
SLC18A1,4,7,12,11,11,5,8,23,8,9,19
USP2,5,12,6,7,18,15,9,10,8,17,8
CASR,5,0,0,0,2,0,0,0,0,0,0
TUBG2,554,147,883,345,367,607,422,867,1128,884,1184
RPL26L1,823,337,866,1670,2044,1842,2116,385,288,355,280
FLT4,108,44,37,710,616,686,679,125,139,130,63
NSUN2,2625,1142,2230,8341,10217,9178,9908,2078,1342,2235,1499
FBXO42,1674,1117,1674,964,979,821,871,2147,1669,2638,1748
MFAP3,993,1000,1306,1173,1298,1414,1297,786,818,939,940
MRI1,416,130,310,960,968,792,832,330,174,414,251
METTL1,199,21,39,566,664,620,634,62,15,89,15
HOXC8,0,0,0,1,0,0,0,1,0,1,0
AGA,857,518,622,664,782,781,712,1232,1034,1296,1095
PI4K2B,2229,812,1558,4673,4851,5234,5052,3788,3914,3830,3449
BOD1L1,9772,7811,10274,6717,8440,8793,8339,7436,7117,8729,8914
MAT2B,3738,5618,5730,4223,4776,5026,5559,10135,11098,11269,11379
TLL1,5,4,0,1,0,3,1,4,1,0,7
EDC4,1333,689,1240,2017,1987,2151,1793,987,708,1155,671
TRIO,421,199,319,150,203,174,209,36,19,8,22
VCAN,27,12,11,298,443,53,108,15,27,13,28
CLEC16A,1493,1279,1899,1314,1423,1441,1411,1900,2211,2003,2377
MSR1,79,56,74,43,51,61,49,65,91,43,61
CDH1,6094,5071,7576,3468,3922,2975,2759,3036,2542,3489,2899
SKIV2L2,7184,4505,6326,17351,20750,20815,21426,6465,5138,6977,5822
DNAH5,44,11,22,4,4,12,0,7,13,9,3
ZFYVE16,721,523,432,1712,1818,1923,1984,479,353,524,378
RIPOR1,1238,411,1358,567,702,578,545,922,875,887,1007
C6,9,3,0,3,0,2,0,7,7,0,0
RAI14,27,23,35,18,12,22,16,35,26,21,37
SOX30,9,0,0,4,0,0,0,3,1,3,16
PNKP,369,307,495,670,798,737,754,726,772,682,822
BEST2,30,13,28,26,35,22,31,35,18,29,61
PHLPP2,3127,8277,8980,2478,2946,2288,2286,6154,6214,6462,6649
SPDL1,3116,1521,3339,5006,5867,6778,7104,3257,2928,3616,3716
STAU2,1568,582,1164,2828,2823,3113,3203,1588,1251,1724,1658
PQLC2,329,443,492,270,328,263,214,207,336,284,411
CTNS,417,705,1228,355,401,343,340,807,883,881,968
RTN4R,3,1,0,0,0,0,9,4,5,9,0
PHF23,1018,1750,1599,1459,1617,1613,1513,1503,1665,1711,1780
CDH10,6,4,7,1,1,6,3,8,4,4,3
INPP4A,2016,1225,1929,1483,1496,1659,1485,328,301,368,248
RAB27B,1298,432,247,89,47,433,285,23,12,9,5
PSMA4,6602,4107,7519,14496,17816,16035,16907,7246,5616,8837,6879
MYO16,27,6,22,3,10,7,3,4,5,4,16
LSG1,1434,743,1093,3825,4688,4487,4772,968,545,1300,700
PARP3,195,140,210,85,65,57,47,49,97,43,91
TNC,44,16,52,43,41,42,59,50,29,23,19
THAP3,271,391,685,364,314,349,335,411,458,401,478
RIPOR3,4063,8790,7683,464,511,491,392,7396,8911,6819,8970
TDP1,1361,753,1975,1871,2199,2233,2399,1148,1022,1192,1196
AIFM2,414,292,744,613,806,908,790,1415,1654,1369,1831
C2orf83,29,23,62,23,13,27,45,34,26,18,22
SPATA7,250,52,318,193,261,283,239,69,43,92,33
MED17,1831,1090,2054,1677,1848,2062,2101,2963,1910,2986,2125
RETSAT,206,96,168,452,543,480,459,110,93,99,119
CAPG,758,261,473,1379,1266,1418,1286,167,75,162,99
AP2S1,884,882,1240,2134,2341,2018,2077,2053,1698,2366,2118
USH2A,56,8,9,45,48,58,61,16,19,21,20
ZPBP,0,0,0,2,0,0,3,1,0,0,0
TG,22,14,12,3,6,7,4,18,58,2,48
ADAM28,269,188,137,35,45,50,59,68,53,60,78
BARX2,29,9,18,20,16,25,12,13,28,24,16
DCUN1D1,12241,26261,29800,10430,11801,11912,11853,28211,25587,31075,28321
JADE2,595,136,527,814,866,1030,900,289,251,274,261
ZIC2,5,2,0,4,0,5,0,5,2,1,0
LCP2,726,246,306,174,98,267,124,121,32,88,60
TRIT1,634,159,588,2112,2303,2367,2310,343,212,433,249
ADRB1,10,2,10,1,6,9,0,7,8,10,6
GUCA2B,0,5,0,0,0,0,0,0,0,0,0
CUL7,268,228,367,693,786,849,726,639,658,744,824
CTNNA1,10478,9207,11944,5088,5619,6401,6192,11590,9290,13072,10386
PHKA2,1143,742,714,973,1072,1009,1026,1179,1129,1167,1128
CNTLN,4965,1939,3572,4237,4933,5431,5396,4222,4314,4401,4616
EPHA3,23,2,4,10,1,1,0,6,17,1,3
HSPA5,4033,3330,4261,11112,14827,15178,15864,8647,5265,8981,5358
DSG2,336,18,81,800,688,1393,1150,153,60,178,53
GEMIN8,301,150,397,304,292,410,380,172,202,254,147
OFD1,4457,5578,7829,1856,2073,2243,2132,5266,5166,6136,6351
GPM6B,321,283,242,135,115,127,124,271,296,311,291
MAGEC2,0,0,0,1,0,4,0,0,0,0,0
PREX2,45,34,62,33,20,23,20,31,56,42,34
WDR37,547,425,678,889,991,954,1037,637,508,625,625
YTHDC2,4026,2811,4000,5567,6203,6258,6167,4939,4007,4892,4251
CTPS2,1201,278,790,1293,1345,1613,1486,418,340,421,475
ATP6V1H,1870,1662,2204,2527,2883,2701,2793,2820,2587,2805,2805
POLR2B,8122,5092,8053,15089,16824,17434,18117,9467,7260,10453,8441
FAM214A,970,1293,1872,455,461,574,518,1835,1637,1597,1943
ARAP2,1937,2406,2040,8,10,10,13,56,29,49,14
TPR,22495,12327,20995,28787,33063,38223,39649,25102,21834,28988,27751
CP,22,16,39,36,37,31,57,13,42,20,26
KIAA0556,573,564,857,437,509,585,509,469,472,404,413
DTNBP1,192,82,135,348,424,466,462,124,59,105,74
XK,7133,7376,18887,6928,7973,7023,7107,25024,26870,27583,28625
ANO2,5,4,0,2,0,0,0,1,0,0,0
C12orf4,1693,970,2082,2664,3115,3075,3031,1924,1352,2217,1834
SCML1,122,41,135,622,661,684,642,422,392,445,406
WWC3,2125,3816,2796,559,544,1005,816,3711,3111,4798,3416
ARHGAP6,205,160,233,116,108,301,228,41,20,17,26
FAM184B,522,588,699,1411,1511,1193,1243,446,599,469,614
MAP4,1015,388,869,2289,2591,2350,2358,794,449,954,599
GOPC,2099,748,2363,6336,7075,7409,7697,3078,2395,3325,2731
ROS1,3,2,13,1,0,0,7,6,9,8,7
USP28,458,178,317,972,1034,1338,1211,323,250,367,328
HDAC9,70,37,60,30,34,28,30,33,31,23,34
TSPAN17,3793,1579,8423,4068,4263,4185,3918,3421,3397,3421,3572
NOP16,422,94,171,2594,3309,3087,2897,194,106,259,97
CC2D2A,236,222,230,156,171,152,177,221,341,252,334
RRM2B,1385,1060,1692,5682,6956,6132,6808,2519,2365,2890,2506
ZNF800,3012,2426,3556,2414,3047,2744,2833,3309,3043,3569,3430
TNFRSF17,2,11,14,12,9,4,8,17,26,7,23
SNX29,918,905,1657,421,387,486,488,813,922,925,1099
LMO3,18,33,17,1837,2902,1916,2440,598,407,749,460
MRPS10,2845,2566,3904,8628,9349,9844,9881,6586,3990,6892,4089
GUCA1A,4,5,21,0,0,2,0,4,13,9,13
RSF1,4448,5632,6673,3966,4833,5349,5206,5846,6151,6428,7167
VPS13D,22223,8383,9923,2953,3473,3984,3871,3534,2621,3585,2708
CELF2,798,589,668,9531,11372,8644,9539,203,71,198,108
FAM120A,3022,1900,2642,5089,5646,6563,6501,2491,1762,2530,2021
R3HDM1,998,517,802,1720,2115,2279,2263,765,736,830,854
COL9A2,25,9,21,18,12,52,43,13,0,17,0
KITLG,51,13,42,0,0,6,5,14,7,0,0
ERCC8,414,177,270,1028,1124,1043,1026,170,127,260,184
ADAMTS6,106,58,116,127,147,140,196,191,277,309,307
H6PD,383,184,361,373,354,436,360,169,175,185,243
VAMP3,1328,1677,2803,1463,1522,1528,1436,2304,1746,2262,1963
PER3,223,131,215,1919,2251,1997,2034,792,686,821,902
UTS2,19,0,0,131,100,108,178,6,0,12,0
TNFRSF9,244,226,302,103,109,201,169,214,192,246,211
EPN3,74,24,63,26,28,66,38,13,32,8,18
LTBP1,4180,2489,4422,63,133,211,209,1407,1305,1331,1468
RCN1,1077,83,451,771,590,963,760,288,195,314,194
ELN,67,61,59,44,35,63,46,55,71,113,81
RFC2,1073,214,638,1575,1604,1717,1684,827,799,899,832
ARID1B,4429,3111,5226,4380,4881,5139,5405,6488,7274,6245,8183
CLPTM1L,1350,856,1726,3827,4315,4339,4077,2101,1613,2153,1735
NEDD4L,2054,4721,2366,2052,2153,2738,2566,3351,5314,3774,5537
FOXP3,9,10,3,3,5,1,1,0,0,0,0
PPP1R3F,54,109,109,43,34,34,46,29,47,51,37
HEXB,2584,1427,2576,4820,5726,6132,6623,1650,1720,1645,1705
PTCD2,773,173,489,1345,1290,1267,1347,381,306,390,268
NEXMIF,23,34,20,19,11,12,28,36,26,28,27
JKAMP,1066,843,1601,1171,1337,1396,1701,1248,1050,1478,1218
DKK3,8,7,0,0,4,1,0,10,17,15,9
ARHGEF5,37,3,16,0,4,3,2,7,5,15,15
NFE2L3,1018,1050,2059,469,418,745,664,971,1021,870,945
MCUR1,1238,308,787,2605,3512,2817,2868,871,641,979,578
LIMA1,596,215,471,572,673,691,642,373,228,377,288
LETMD1,1603,946,1674,2047,2190,2275,2423,1201,1253,1223,1493
SLC4A8,631,331,541,208,237,231,224,403,441,397,487
LAMC3,25,29,47,228,231,142,172,21,33,15,36
PTGER3,140,130,102,1892,2266,1021,1229,43,57,43,45
TNIP3,55,29,38,22,26,37,14,39,36,35,48
MAPK9,1170,458,968,1326,1328,1478,1460,1298,1088,1201,1097
COL23A1,11,2,31,0,0,0,3,3,4,0,0
BCAR1,87,91,173,864,778,1074,767,147,141,172,203
FAM160A2,445,633,791,290,359,348,349,461,395,375,372
HERPUD1,1237,2097,1965,777,891,1012,843,2552,2868,2508,2992
HOMER3,49,33,42,23,12,69,47,48,16,65,32
RAD51,1229,435,1023,1113,1293,1435,1611,1561,1667,1695,1913
POLQ,10311,4343,8541,5143,5747,6655,6674,6048,6134,5834,6817
PIK3CB,1725,1041,1332,1866,2398,2475,2603,826,586,794,697
CYBA,349,227,288,436,472,357,397,19,8,24,14
THOC3,2329,299,1494,4518,4971,5527,5193,1162,706,1025,724
HEBP2,359,139,234,1607,1764,1995,2188,628,585,1015,827
MPHOSPH9,10924,5292,11942,4366,5016,5282,5472,10575,11462,11284,12742
PLEKHA5,811,451,673,1008,1147,1257,1581,482,612,438,519
PRSS8,54,28,70,24,25,32,25,65,75,51,104
SIKE1,2083,752,2165,2934,3425,3461,3405,1203,859,1419,962
RRP12,799,164,381,2738,3162,2872,3021,592,279,553,306
FNIP2,2979,2193,5081,3507,4052,3417,3692,2482,2388,2584,2679
MSMO1,1700,6851,6708,3260,3743,2832,3140,3368,3224,3739,3385
TTC17,7211,5122,7635,4659,5524,5848,5924,8750,8198,10158,8912
ALX4,2,11,7,3,2,5,2,1,3,2,2
FSTL4,5,6,5,3,1,1,2,2,4,6,4
FOXN3,2272,2741,4115,1190,1497,1397,1380,1780,1962,2034,2263
METTL24,8,14,16,1,8,4,0,6,8,8,0
AKR7A2,413,71,368,669,727,845,756,147,105,147,96
MRTO4,927,144,393,4615,5455,4985,5117,370,229,457,282
NNAT,14,12,35,29,23,25,26,14,7,17,15
USE1,348,348,424,381,398,517,478,595,538,595,626
MCF2L2,284,191,247,355,338,473,462,245,292,300,441
NRIP2,120,56,62,81,141,125,86,44,47,62,84
LAMA3,14,16,60,2,1,22,9,13,19,9,24
AP5M1,2309,1855,2138,3643,3775,3716,3992,2746,2158,3128,2044
ANAPC4,2016,583,1379,3174,3475,3539,3344,1175,1096,1322,1114
KCNQ1,12,7,0,4,1,3,2,0,11,6,13
TRAPPC3,938,1167,1901,1782,1996,1929,2088,1098,1000,1152,1004
THRAP3,6780,5262,7718,10647,12842,12644,12460,7832,6839,8991,7984
PHPT1,555,149,464,750,761,627,631,256,389,375,437
ENTPD2,0,3,3,0,0,0,0,0,7,0,2
LY75,250,43,117,93,37,100,68,48,49,94,27
ARID4B,6162,8405,9014,3179,3607,4158,4265,6808,6641,7294,7788
OPN3,106,33,84,109,117,120,148,14,15,34,30
SDCCAG8,386,226,464,175,164,236,200,175,218,196,219
PTPRN,35,46,30,5,4,0,3,14,16,23,21
HHAT,17,4,9,2,1,1,2,0,7,0,0
KIF1B,613,218,631,1291,1449,1621,1433,394,334,481,367
FOXC1,8,0,10,1,3,17,9,0,5,0,5
TBC1D22A,779,504,838,832,827,929,837,680,644,763,711
SYNE2,1019,745,1217,348,286,601,535,1114,930,1195,1104
PLEKHH1,58,39,51,48,45,83,74,94,71,108,76
ATP9A,151,87,124,530,596,1121,927,345,325,266,210
SPO11,0,0,2,1,0,0,0,0,0,0,0
CBLN4,3,0,1,0,0,0,0,6,0,0,4
CHRDL2,2,0,0,2,2,0,0,1,0,0,5
FAM168A,432,327,577,562,627,703,645,222,306,235,331
RELT,421,288,352,396,466,368,328,608,547,623,590
GALC,3321,2238,4987,4071,4107,3323,3121,1430,967,1318,1151
NOP58,8461,1732,4237,15848,19451,17991,18651,3538,2162,3965,2495
SZRD1,773,775,705,1290,1469,1439,1422,791,704,890,870
KCNH2,12589,1502,8672,10607,10992,10963,10498,5997,4086,6079,3841
CUL1,2494,1850,3068,5725,7685,6770,7300,2627,1929,2791,2208
FAM114A2,1839,1224,2164,2096,2441,2631,2612,1620,1354,1816,1513
CYFIP2,384,228,225,17,7,26,19,12,19,36,22
TAB2,1603,2647,2352,1802,2117,2318,2122,2933,3248,3311,3964
GINM1,1150,571,1795,1001,1142,1381,1286,1992,2041,2251,2443
EIF2AK2,3007,937,1595,3433,3896,3900,3914,1715,1128,1633,1262
USP36,719,414,655,2004,2191,1987,2003,453,248,491,423
KMT2C,14594,17757,20115,5468,6646,6430,6648,14383,16205,15318,19510
MCOLN3,87,154,105,64,85,83,102,128,143,125,149
CCDC85A,0,0,0,0,4,0,0,0,0,1,0
PUM2,3760,3314,4941,5735,6911,7329,7352,6447,6000,6858,6655
MRPL43,444,280,461,947,1024,1105,1102,397,395,529,428
ITIH4,13,1,48,3,0,4,2,8,8,1,20
ITIH1,17,48,28,28,8,6,2,35,39,55,17
HPF1,759,106,345,1019,1240,1344,1250,585,568,723,511
ZFR,5131,4376,6821,7774,8582,9567,9621,6876,6395,7877,7179
ZNF280C,201,85,107,462,584,621,752,121,101,133,90
NPFFR2,8,0,5,0,0,2,0,4,5,4,5
PHF21B,3,3,0,1,3,0,5,0,0,1,0
TRAF1,39,33,26,14,17,28,24,46,24,74,40
RC3H2,3473,5059,5767,2920,3564,3287,3196,6118,7038,6699,7049
KIFC1,0,0,0,0,0,0,0,0,0,0,0
IL17RB,100,38,72,271,286,363,324,93,64,68,58
TRAF3IP2,450,212,383,569,669,721,692,107,239,96,145
GYG2,45,21,31,5,8,13,7,25,21,9,13
DCBLD2,1041,600,1941,2575,3115,3892,3928,870,838,972,902
SERPINB3,0,0,0,0,0,0,0,0,0,0,2
SOAT1,1923,640,1026,2401,2698,2646,2796,1129,1322,1039,1428
PKP2,60,60,92,24,26,36,31,28,69,53,61
MSH4,2,9,46,10,6,37,22,184,130,186,176
F7,0,3,0,4,1,1,0,2,0,0,6
GDI2,12685,8587,13429,27881,31714,32149,33633,11659,12380,12656,12362
PRDM1,49,94,95,6,3,2,4,4,7,4,6
ATG5,1554,1049,1548,3323,3756,3687,3792,2458,1962,2606,2257
TMCC3,78,85,96,5,5,8,18,3,7,1,17
PITHD1,3389,4015,4575,3950,4549,4488,4271,5725,4872,6395,5158
MTA3,259,88,175,526,687,734,657,77,67,81,104
USP13,299,39,206,464,566,703,558,19,31,54,41
ATP11B,11607,7285,12943,15775,17512,17888,18501,18318,16590,20238,17413
LAMC2,30,22,31,21,16,14,30,43,79,45,89
CDK14,440,96,317,1,6,5,1,15,20,2,3
SEC61A1,2326,1420,2412,4634,5450,5278,4894,2970,1794,3159,2224
PPP1R12A,12631,13907,18650,8500,9664,10573,10793,10520,9841,10897,11581
RASGRF1,21,32,35,25,26,42,35,55,39,36,34
CAMK2B,57,66,73,42,41,35,22,42,60,44,54
CROCC,281,328,490,293,275,325,284,502,585,547,595
POLR3E,1588,817,854,3523,3978,3906,3858,1635,1210,1783,1359
ATP2B4,10068,1762,5305,6378,7553,8597,8127,9979,5831,10048,6625
ZC3H11A,11221,24479,21912,10294,12214,12397,12175,16287,17919,16839,17543
RIOK2,936,374,647,3131,3928,3690,3832,647,451,683,458
YIPF1,273,174,288,462,456,509,528,322,236,301,236
NDC1,2808,488,1684,8183,9717,9080,9223,1831,1372,2028,1412
DGKG,123,51,95,13,5,15,13,29,32,11,33
FLYWCH1,473,239,560,368,436,361,326,288,245,271,282
UNKL,635,881,1108,179,197,202,177,1256,1006,1309,945
TBXAS1,270,270,139,7,8,8,7,22,17,34,8
PARP12,665,1697,2073,176,282,226,227,1190,1541,1189,1442
ALDH18A1,1997,382,927,5171,6021,5128,5249,3281,2286,3417,2279
TARBP1,3757,554,2153,4501,4730,4372,4026,987,487,861,556
GATB,895,295,751,1733,1880,1632,1955,416,377,542,435
MXD1,2428,2512,2766,2535,2755,3147,2925,2739,2387,2756,2412
CDK17,3838,4917,7831,1729,2032,1917,2006,3953,4983,4398,4925
DNAJC25,463,133,333,794,924,865,814,286,255,308,235
SLC2A3,1258,1313,597,426,581,878,838,391,224,318,247
PSD,15,23,27,14,4,5,19,9,8,26,26
CTDP1,606,625,714,1528,1812,1793,1418,1188,757,1241,1112
YBX3,5120,6265,10818,4866,5381,6215,6537,7438,6566,8151,7095
STYK1,143,179,297,11,15,22,13,52,28,18,14
WNK1,24758,40129,57984,4649,5775,7501,7067,35529,35958,37197,40190
CCAR1,6576,5486,7863,10082,12073,10724,10658,5843,5235,6039,6204
OGFR,712,546,818,598,610,655,603,677,680,813,688
GNA15,641,79,213,1783,1649,1954,1891,120,36,87,30
CREB3L3,84,242,112,0,5,1,3,11,9,26,8
PIGV,614,306,677,589,504,692,691,284,337,339,344
PTPRU,6,0,6,3,4,9,8,0,7,4,2
SNRNP40,2797,831,1969,5826,6587,6204,6281,2078,1372,2223,1663
RIMBP2,0,4,0,4,0,1,1,6,5,4,2
COL11A1,5,0,0,2,5,0,0,5,0,2,0
QSER1,1376,559,804,2471,3068,2861,2939,678,665,718,737
MPC1,844,362,1130,2971,3201,2722,3224,2059,1604,2198,1918
ACAA1,655,373,882,902,1202,1218,1179,538,509,470,421
BCAT1,6942,3237,2984,42107,48561,44636,45280,11655,9860,13662,11916
HDAC7,1490,204,801,1568,1766,2003,1682,312,120,320,196
LZTS1,13,9,20,3,8,11,8,32,27,17,18
PRDM6,34,30,68,9,8,20,12,136,125,161,221
WNT8A,4,0,0,0,0,0,0,0,0,0,0
SPAG4,63,16,40,70,44,100,66,36,24,30,36
NCKAP1,1525,1690,2642,4936,5218,6174,6427,4304,4225,4977,4563
MRPS35,1644,404,947,6055,7291,6782,7017,812,562,944,685
GUCY1B3,265,61,124,4,8,8,8,12,1,9,0
SFSWAP,3270,3392,4380,3454,4169,3546,3505,4191,3745,4856,4406
TNK2,1264,1140,2163,310,316,365,259,2019,2515,1973,2922
MON2,4999,3593,6349,2771,3408,3457,3545,3945,4189,4083,4316
CDH3,52,34,33,22,6,24,20,12,21,12,45
ARSF,16,30,17,1,2,4,5,12,4,1,7
GPBP1,6056,7276,8648,6211,7610,7506,7576,7374,6476,8131,7172
DGAT2,101,68,102,494,549,658,554,125,124,101,96
ZNF112,43,3,8,1,0,2,0,0,0,0,0
CS,2140,1368,2015,5507,6296,5653,5625,2396,1974,2422,2153
LTK,7,1,0,3,1,0,4,0,0,0,6
MRPS24,393,128,403,988,1008,827,844,220,180,203,219
ELMO2,400,377,399,415,464,448,436,544,462,591,468
WAPL,9627,5351,8897,10457,12272,12184,12264,10713,9893,11728,12251
VMP1,3878,1131,2686,6296,7565,8262,7367,3975,2363,4508,2228
APPBP2,1017,1157,1495,1796,1871,1737,1879,1387,1332,1455,1230
POLD1,1816,537,1184,3023,3062,2914,2747,1984,1887,1915,2032
SEZ6,34,19,24,9,8,11,2,9,15,4,16
EIF4B,33555,19408,33576,63776,71846,74576,74685,17044,15214,18701,17027
SLC6A16,13,26,24,17,11,15,25,15,17,10,18
BICRA,102,122,155,91,58,97,99,120,130,135,180
SPHK2,146,168,259,352,385,290,283,258,209,280,233
RPL18,6913,2649,5343,17523,19171,17649,17215,8442,7401,8851,7277
