gene_name,Control_0nM Dox-1,Control_0nM Dox-2,Control_350nM Dox-1,Control_350nM Dox-2,sg_P130_0nM Dox-1,sg_P130_0nM Dox-2,sg_P130_350nM Dox-1,sg_P130_350nM Dox-2,sg_RB1_0nM Dox-1,sg_RB1_0nM Dox-2,sg_RB1_350nM Dox-1,sg_RB1_350nM Dox-2,sgRB1+sgP130_0nM Dox-1,sgRB1+sgP130_0nM Dox-2,sgRB1+sgP130_350nM Dox-1,sgRB1+sgP130_350nM Dox-2
MSH5-SAPCD1,2,4,0,0,4,11,0,0,10,0,0,0,34,3,4,0
TOLLIP-AS1,8,7,32,31,13,10,39,22,8,0,73,63,12,2,77,62
HTD2,31,49,15,6,108,105,86,0,67,0,68,82,0,0,26,47
RNY1P9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DEFB130C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC01499,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1
OR5AM1P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC02759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MUC5B-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC02720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC02711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PDXDC2P,2,10,19,5,10,12,12,9,6,18,12,15,0,25,17,17
GLYATL1P1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
NANOGP8,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
OR4A17P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SNHG9,24,19,70,19,30,32,63,32,27,0,71,69,42,8,51,50
GTF2IP11,0,0,0,0,0,0,2,10,2,0,1,0,13,0,5,2
OR7E2P,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
MED28P5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC392187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OR5J7P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OR5BC1P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
