gene_name,Control_0nM Dox-1,Control_0nM Dox-2,Control_350nM Dox-1,Control_350nM Dox-2,sg_P130_0nM Dox-1,sg_P130_0nM Dox-2,sg_P130_350nM Dox-1,sg_P130_350nM Dox-2,sg_RB1_0nM Dox-1,sg_RB1_0nM Dox-2,sg_RB1_350nM Dox-1,sg_RB1_350nM Dox-2,sgRB1+sgP130_0nM Dox-1,sgRB1+sgP130_0nM Dox-2,sgRB1+sgP130_350nM Dox-1,sgRB1+sgP130_350nM Dox-2
GINS1,370,499,82,84,637,593,113,106,635,350,214,221,299,417,224,221
NINL,85,132,111,109,105,106,163,164,104,70,161,253,158,203,168,138
CD40,72,108,292,129,104,103,228,221,115,72,353,384,57,57,530,323
UQCC1,636,672,1028,1040,716,697,1238,838,622,503,1225,1343,216,335,1103,1076
ZMYND8,801,935,643,418,977,950,684,526,1189,535,794,788,651,973,759,693
SGK2,0,0,0,0,0,2,0,0,0,0,3,0,0,0,9,0
IFT52,315,338,128,81,349,370,180,88,380,198,146,123,123,173,162,81
MYBL2,1536,1510,152,113,1742,1508,111,102,2129,1328,361,348,759,1167,769,790
R3HDML,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HNF4A,0,0,0,0,1,0,3,0,0,0,2,7,0,0,3,3
NDRG3,945,1064,412,328,1005,1105,487,288,922,512,475,453,380,631,333,296
SLA2,5,1,6,2,0,1,0,16,0,2,0,0,0,0,0,3
RAB5IF,1183,1431,1167,1088,1494,1590,1257,917,1777,1221,1853,1835,996,788,1829,1679
NFATC2,103,98,250,263,117,103,234,170,100,85,316,253,50,113,362,197
RIMS4,0,0,4,0,5,0,3,0,0,0,3,8,0,0,13,6
PABPC1L,54,63,34,70,73,60,25,34,67,181,71,42,57,62,50,52
STK4,1120,1472,1111,768,1544,1664,1421,604,1392,753,1248,1391,455,1268,1392,1148
SALL4,27,5,48,50,28,13,20,12,23,49,34,47,10,35,54,57
ADNP,1374,1733,538,498,1960,1959,812,379,1796,1112,628,821,476,1302,503,391
PFDN4,94,193,72,33,405,367,214,69,106,66,92,108,81,16,98,99
DOK5,0,0,0,0,2,0,4,0,12,0,5,0,0,0,7,0
CSTF1,473,609,339,334,721,729,493,285,704,335,368,459,273,309,400,383
BMP7,18,6,121,95,9,20,84,107,6,0,164,178,45,6,127,177
RAE1,512,651,715,479,664,679,669,521,711,464,734,900,403,412,808,546
TPD52L2,3100,3357,2570,1714,3447,3094,2575,2220,3655,2092,2864,2990,1797,1910,3150,2797
DNAJC5,2448,2579,2617,2046,2835,2664,2627,1846,2926,1768,3243,3579,1239,2465,2737,2576
NELFCD,985,981,640,356,1057,880,494,511,1319,915,692,679,626,844,555,618
CTSZ,6230,6430,7288,6616,6313,5894,7103,5646,6074,3909,7541,7634,3781,2841,8027,6483
PRPF6,1986,1976,1756,1565,2116,1897,1685,1520,2207,1290,2051,2043,1306,1213,1814,1700
TUBB1,0,0,3,0,0,1,0,1,0,0,0,0,0,0,0,1
PRELID3B,847,872,471,529,824,843,570,299,1015,669,424,625,344,311,632,394
HRH3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MTG2,438,552,536,378,588,560,483,402,660,397,580,632,524,390,580,390
PSMA7,2873,3227,1423,1048,3518,3284,1544,1208,3794,2551,1929,2030,3214,987,1891,1712
SLCO4A1,342,418,792,635,390,396,607,480,496,517,833,812,523,564,1344,1185
NTSR1,59,57,23,70,61,69,19,15,105,37,27,23,138,129,40,36
MRGBP,485,598,202,139,555,561,205,155,622,374,231,223,362,285,229,209
TCFL5,199,224,143,161,285,284,202,140,245,106,205,185,87,144,194,161
DIDO1,1272,1425,1155,862,1618,1400,1094,806,1609,1219,1259,1375,347,1385,1086,979
GID8,853,1025,897,654,1248,1137,953,582,1061,807,987,1279,304,642,1090,841
SLC17A9,913,915,484,404,924,892,377,319,1046,1067,791,646,482,848,525,483
BIRC7,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
NKAIN4,0,0,0,0,0,2,1,0,0,0,1,4,0,0,2,1
ARFGAP1,1192,1296,2597,1968,1191,1241,2279,1812,1530,1191,3112,2859,691,1296,3030,2312
AVP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COL20A1,0,0,7,0,0,0,0,0,0,0,0,0,0,2,1,0
CHRNA4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EEF1A2,122,137,67,66,157,135,34,59,260,63,118,88,142,135,106,124
PTK6,1,3,9,0,8,6,4,2,9,0,12,7,21,6,6,4
GMEB2,423,460,416,345,537,471,406,340,536,426,516,504,285,452,459,464
C20orf27,563,638,203,102,725,631,216,132,760,485,262,262,466,439,262,242
SPEF1,2,1,0,0,0,1,0,0,4,0,0,0,7,0,3,2
CDC25B,3092,3679,3864,3882,3800,3617,4513,3622,4571,3032,5667,5735,1883,3827,5264,4485
ISM1,42,41,500,442,56,41,590,406,31,11,531,486,22,27,784,651
RNF24,897,1188,657,467,1216,1102,904,620,1143,853,1021,1216,976,1207,1157,881
ARFRP1,573,632,525,416,721,621,565,453,737,413,851,773,591,353,670,639
NDUFAF5,121,148,102,43,166,227,147,51,128,203,110,133,141,88,113,91
SEL1L2,0,1,0,0,2,2,0,0,1,0,2,0,0,3,0,0
TRIB3,377,424,143,206,469,442,171,118,549,348,312,224,395,357,262,316
RASSF2,195,224,90,134,191,180,116,67,181,102,85,129,39,117,100,114
CSNK2A1,1791,1864,1437,1347,1789,1751,1454,931,2262,1393,1591,1841,646,1548,1594,1108
SLC52A3,0,0,0,0,1,0,0,0,1,0,0,6,0,0,0,2
RPS10P5,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
ANGPT4,3,4,16,1,2,2,9,12,7,0,12,2,0,5,12,7
RSPO4,7,22,16,2,23,9,26,33,7,85,24,21,8,3,11,16
CDS2,920,1293,970,421,1185,1246,915,391,1032,836,1144,1443,628,818,1361,850
PROKR2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,9,3
HM13,5961,6084,7038,6715,6783,5983,7081,5389,7151,5654,8016,9133,7118,3747,7586,6972
SNPH,428,445,128,84,429,402,103,89,459,290,156,198,214,419,130,150
MYLK2,2,6,0,0,14,2,2,0,13,28,4,0,1,6,0,7
SIRPB1,47,74,57,34,35,26,65,68,50,45,100,62,11,48,110,75
SEC23B,1226,1154,1001,603,1104,1079,1016,899,1564,1226,1348,1502,678,890,1451,1149
FERMT1,117,86,170,70,163,119,133,165,115,89,139,169,64,112,135,136
HAO1,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0
PDYN,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,3
CCM2L,0,0,4,0,1,0,0,0,0,0,9,6,1,0,24,32
PLCB4,519,538,208,282,495,604,363,127,488,230,259,249,37,224,107,129
MYL9,17360,17313,8444,7499,18360,16964,7430,6857,22548,14926,12515,12489,13193,9044,11146,9537
HCK,0,1,0,0,0,0,1,0,4,0,1,2,0,0,5,2
TM9SF4,2559,2687,3196,2479,2687,2676,2885,2239,2698,1755,3080,3247,1035,2131,2791,2336
TLDC2,4,2,8,1,8,7,2,0,4,0,5,3,0,8,6,1
CRNKL1,466,504,424,368,599,584,446,285,393,416,371,438,367,199,455,275
POFUT1,2401,2485,2127,1353,2450,2539,1735,1501,2943,1735,2236,2704,987,2365,1988,1806
SAMHD1,3848,4987,3899,3563,4095,5152,4478,2947,5781,3907,5868,7324,3008,4761,5140,3897
PAK5,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
KIF3B,1686,1964,3017,2062,2054,2063,3347,1868,1774,1082,2931,3527,1286,1395,3284,2791
MROH8,8,17,48,19,18,23,71,25,23,6,92,85,11,19,93,55
NOP56,2358,2600,3450,3560,3145,2670,3397,2456,3506,2231,4035,4982,2540,1770,5344,4586
MANBAL,1334,1356,675,621,1527,1383,834,650,1823,1140,885,871,1167,751,809,640
IDH3B,850,975,925,698,1078,926,1056,633,1138,883,1290,1311,884,487,1059,1020
MAPRE1,2927,3572,2016,1709,3891,4049,2613,1421,3681,2278,2319,2727,1203,1610,2380,1965
JAG1,251,311,1047,529,325,366,853,728,553,351,1258,1347,106,359,1003,954
CDK5RAP1,300,289,393,396,444,400,425,336,548,303,489,475,443,261,431,451
SNTA1,334,330,183,224,357,323,224,170,424,268,295,353,236,229,352,304
OXT,3,2,5,0,3,2,1,0,0,0,5,8,1,5,5,2
TTI1,414,501,352,209,567,609,394,251,814,404,648,598,296,437,641,473
E2F1,755,822,361,198,1026,913,303,273,1336,927,1238,1289,624,781,2115,1834
RPRD1B,469,443,456,303,411,409,458,195,642,685,1049,694,243,604,870,773
PXMP4,233,291,72,84,212,278,133,81,412,192,223,147,155,174,108,149
CHMP4B,1998,2234,1894,1786,2436,2183,2195,1583,2512,1344,2408,2571,1877,1150,2600,2092
BPI,26,11,18,18,14,12,29,11,20,0,13,37,10,2,13,16
CST9L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SLC32A1,0,0,1,0,0,0,3,0,0,0,6,3,0,0,4,8
CST3,3372,3856,4792,4349,4615,3972,5256,4476,3913,2506,6442,6469,3290,1970,6904,5404
ASIP,0,1,1,0,0,0,2,0,0,2,0,8,1,0,3,3
CST4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
ACTR5,91,123,35,31,118,97,64,49,126,40,83,57,44,60,56,43
WFDC2,0,1,1,0,0,0,0,4,2,0,2,0,0,0,2,1
AHCY,1903,2029,2302,2023,2240,2056,2406,1927,2762,1796,3129,3384,1343,1472,2931,2775
PPP1R16B,0,0,1,17,0,0,2,0,0,0,3,4,0,0,2,5
SPINT3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM83D,621,854,191,133,815,895,263,150,1001,668,306,368,256,536,509,414
EPPIN,4,1,1,0,0,1,2,0,0,0,0,0,0,1,0,3
DHX35,164,131,92,70,129,127,124,98,130,83,120,120,61,111,116,107
DNTTIP1,315,339,234,248,424,348,249,224,436,402,334,252,229,175,313,273
MAP1LC3A,198,235,246,207,256,200,258,256,258,228,308,333,131,114,305,272
SYNDIG1,122,80,24,30,116,91,20,30,77,33,13,25,26,61,5,4
PIGU,330,488,80,90,423,451,93,114,492,576,122,110,284,167,120,123
TNNC2,0,0,6,0,0,0,1,6,0,0,3,0,0,0,8,5
ACOT8,252,232,268,314,219,200,307,190,245,170,367,450,159,107,380,326
APMAP,2047,2305,3012,2334,2439,2283,3039,1947,2328,1498,2910,3083,1080,1343,3050,2300
CELF4,0,0,2,0,0,0,1,0,0,0,1,12,0,0,6,0
ZNF516,535,683,466,410,636,640,446,739,589,596,738,778,277,599,687,367
CDH20,0,0,0,10,1,0,3,0,0,0,2,2,0,0,5,1
ADNP2,426,501,374,233,498,549,490,302,631,580,473,618,164,464,543,444
RBFA,272,336,96,93,343,305,139,128,402,193,158,146,336,188,145,121
USP14,1198,1752,774,557,2292,2321,1138,446,1837,1048,837,921,713,861,820,549
VAPA,2149,2823,1029,1089,2998,3002,1635,611,2537,1705,1095,1411,820,992,1087,924
METTL4,84,148,104,87,129,183,152,108,143,112,167,154,74,76,134,86
LPIN2,782,1038,1354,785,981,1007,1223,870,1133,634,1351,1644,226,826,1449,1179
SMCHD1,780,1185,308,389,1454,1538,824,316,1292,428,576,521,304,626,558,599
MYOM1,2,25,32,13,15,18,16,14,10,20,16,13,1,35,64,6
MYL12A,6548,8427,5320,4389,8725,8516,6861,3903,9193,6311,6824,7790,4120,2401,6346,5018
CEP76,169,161,109,177,194,228,193,155,182,104,193,199,56,106,171,185
ST8SIA5,0,3,23,0,8,19,1,46,17,0,21,68,6,6,33,34
CEP192,449,344,77,54,629,572,127,117,366,227,184,267,202,296,137,190
RNMT,598,734,455,654,837,662,584,474,518,286,589,594,497,511,443,321
SMAD7,967,907,698,803,1200,941,559,691,1076,667,753,1026,358,779,863,779
LIPG,40,47,295,133,44,28,335,238,83,6,541,606,29,61,541,531
LAMA1,225,238,327,155,245,222,355,183,416,208,447,591,251,362,408,422
RNF125,17,28,19,19,18,3,24,19,21,1,53,29,6,14,21,26
ANKRD12,784,616,360,318,777,916,555,275,580,207,507,357,529,66,464,256
NOL4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POLI,159,131,47,133,188,162,91,15,114,212,79,83,61,46,88,55
MIB1,864,928,774,461,1018,954,888,581,913,557,674,960,176,600,849,540
RBBP8,758,853,254,231,1000,1011,343,165,1026,1038,465,418,877,368,561,461
RIOK3,545,993,1015,859,976,1022,1611,488,839,471,1315,1490,268,452,1054,835
CSTF2,415,443,264,252,461,460,297,173,538,357,451,414,215,337,321,262
H2BW2,6,6,0,0,10,11,3,7,9,6,5,17,25,13,12,1
MXRA5,5914,6571,7769,5043,5815,5666,6134,4572,4450,3042,4539,5090,907,4299,3684,3142
VSIG1,10,18,32,34,27,20,38,30,23,21,50,37,16,32,50,46
PSMD10,563,587,535,446,618,644,712,430,642,241,594,637,173,186,534,419
ATG4A,203,320,467,341,243,289,527,235,189,119,625,534,118,111,630,347
STS,579,618,834,619,727,719,1012,593,765,435,984,1183,220,508,917,720
TBL1X,972,1109,237,204,1096,1062,279,178,1123,657,238,320,399,856,333,242
GPR143,2,1,1,0,3,1,0,0,0,0,8,1,0,0,0,2
PGRMC1,2351,3301,3176,2310,3472,3492,3809,2131,2982,1788,3412,3711,1310,1190,4098,3052
POLA1,501,557,35,42,631,643,79,34,664,429,196,126,223,387,263,144
MID1,526,386,676,219,473,489,756,785,594,394,1058,1247,203,775,955,821
NKAP,349,385,336,256,555,480,401,242,343,298,269,355,427,244,377,309
RHOXF1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
NXT2,97,79,140,89,85,99,200,31,122,22,106,139,17,43,157,106
GUCY2F,2,0,0,0,1,0,0,0,0,0,0,5,0,0,1,0
ATP1B4,8,14,4,0,6,4,3,0,12,0,3,5,0,4,4,9
MCTS2P,10,10,4,0,13,20,0,0,10,0,6,11,10,10,8,9
ALG13,184,258,108,92,270,227,161,95,195,190,122,190,170,78,102,129
PRPS2,521,512,753,775,548,501,676,633,823,441,1498,1606,215,513,1913,1459
TLR8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
MOSPD1,294,413,817,453,394,373,1166,485,316,44,781,824,157,99,635,490
AMMECR1,189,273,85,73,325,338,152,96,292,152,139,110,52,112,105,82
CHRDL1,46,78,82,29,93,61,65,72,187,104,201,274,30,111,283,187
WDR13,980,903,619,853,982,800,449,445,849,804,513,379,812,549,624,492
SUV39H1,346,412,42,4,388,345,87,60,587,228,102,130,269,423,206,225
PAGE4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRPX,743,861,1158,750,974,942,1102,882,1121,607,1157,1289,481,544,1336,979
GLRA2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
XIAP,981,1136,653,323,1383,1247,782,616,1201,842,735,1107,1094,953,766,641
STAG2,1303,1204,786,546,1165,1214,550,331,1619,1678,461,504,1314,600,697,495
ATP11C,587,695,663,552,824,742,600,427,704,446,510,567,247,369,516,305
MCF2,0,0,1,0,0,0,3,0,0,0,1,9,0,0,2,2
F9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCD1,405,548,710,882,501,414,545,541,706,862,1015,1112,384,517,1028,918
CCDC22,227,281,142,117,323,251,154,98,364,292,251,182,245,243,206,200
CACNA1F,0,0,2,0,0,1,3,0,1,0,0,0,0,2,0,0
SYP,9,18,35,30,11,12,19,6,18,7,39,16,39,5,35,18
PLP2,3600,3923,1925,1347,4085,3998,2083,1472,5208,3558,2925,3095,2989,2329,3295,2872
BMX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
LUZP4,0,0,0,0,1,0,0,0,4,0,3,0,0,0,0,0
PLS3,4724,5864,2109,1670,7136,7343,3232,1439,6239,3793,2665,3119,1456,2645,2265,2023
NAA10,851,908,716,537,937,855,679,572,1117,896,827,908,747,415,774,723
RENBP,65,48,9,0,46,48,7,7,57,25,12,5,25,34,16,17
ELF4,1207,1326,1360,1001,1286,1145,1203,1038,1563,1068,1742,2025,480,1506,1937,1698
SMARCA1,1819,2171,793,638,2348,2366,1112,490,2074,1093,804,1052,830,940,701,488
MTMR8,0,2,0,0,0,2,0,0,0,0,0,0,0,0,1,2
ASB9,23,23,12,0,18,34,1,6,5,0,8,9,9,4,0,1
ZC3H12B,32,59,21,28,42,35,31,1,21,1,13,24,0,38,28,25
RBBP7,1698,2103,833,564,2202,2004,1064,719,2359,1555,1260,1452,858,981,1642,1210
PPP1R2C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KCND1,114,128,18,5,142,118,16,81,194,521,29,29,59,178,28,29
OPN1LW,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
SLC25A14,126,151,61,42,181,158,98,33,129,149,61,101,140,45,66,38
FMR1,542,721,526,486,441,518,660,329,735,702,770,967,293,388,670,487
PIM2,190,242,407,296,269,281,458,288,282,183,494,594,168,235,720,678
SCML2,40,38,16,0,53,48,6,20,32,70,15,10,4,51,12,16
SLC35A2,788,833,920,767,867,859,1029,578,978,731,955,1136,386,554,1065,775
PQBP1,686,684,469,414,784,740,475,457,1001,579,684,638,831,345,632,519
RS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PCSK1N,3,7,10,0,14,6,11,20,8,8,18,17,4,4,14,17
EMD,1389,1397,674,584,1470,1288,662,590,1394,1076,904,974,685,717,1000,650
TAZ,171,258,110,140,238,248,110,189,282,158,196,250,177,164,138,115
RAB40AL,0,0,0,3,1,1,0,0,0,0,3,1,0,0,0,0
PGK1,5871,7479,5968,3525,7967,7360,8039,3503,8606,5202,6931,8096,3083,3964,7587,5463
GATA1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
MAGT1,1394,1678,1229,1039,1759,1667,1515,748,1533,1276,1560,1894,841,936,1715,1207
SMS,1568,1737,652,798,1783,1794,830,387,2205,1441,911,1033,825,866,939,754
PHEX,5,6,5,0,14,6,4,3,12,0,2,5,0,3,6,7
UBL4A,682,769,258,272,750,762,267,260,962,716,429,530,280,555,422,381
CD99L2,1573,1822,2508,1951,1696,1546,2266,1895,1473,1187,2008,1993,633,1059,1923,1658
EEA1,831,866,869,498,908,988,1257,570,888,458,1084,1063,202,416,931,785
GPR50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
RP2,595,738,528,324,854,880,663,399,649,333,505,729,200,321,594,400
JADE3,156,214,155,94,206,224,185,121,246,457,215,369,219,183,304,184
CDK16,2047,2276,2133,1715,2143,2224,2395,1841,3416,1971,2766,2906,1200,2205,3585,2825
USP11,1620,1744,3197,2850,2041,1828,3151,2369,2398,1495,4203,3887,967,1456,4546,3393
PCYT1B,8,4,5,0,5,5,8,5,3,0,4,22,0,7,7,7
BRS3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HTATSF1,1319,1349,722,606,1567,1579,919,458,1462,863,755,884,936,598,837,571
VGLL1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
CD40LG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TIMP1,18279,19247,14592,14117,21997,20103,15838,14021,21675,13181,19089,18542,13775,9755,18741,14885
KLHL4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GABRE,72,80,364,260,103,119,490,401,23,156,452,454,16,126,682,327
PCDH11X,6,9,10,20,7,10,7,5,15,17,12,12,4,19,25,14
FGD1,769,849,367,293,925,898,336,340,1105,594,528,493,458,872,571,494
PIN4,308,237,270,272,277,297,284,150,392,243,241,297,427,58,394,263
PORCN,146,130,184,104,173,182,229,230,182,61,184,251,56,76,218,160
ITIH6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAGED2,3541,3952,4300,3823,3975,3546,4509,2974,4070,2526,4897,5027,1935,2090,3745,3253
RBM3,3805,3511,1683,1208,4649,3885,2088,1165,4713,2914,2181,1682,1559,1387,1790,1075
KLF8,31,37,21,25,81,37,30,3,27,10,16,2,9,32,25,11
SRPX2,1283,1448,1786,1294,1420,1384,1725,1287,1716,1138,1940,2080,912,1185,2219,1848
SYTL4,213,178,98,80,169,159,182,88,354,140,267,198,137,259,245,149
ZDHHC15,0,7,3,0,2,9,15,0,2,1,0,7,1,3,2,16
CENPI,317,458,7,29,602,541,24,24,473,294,16,36,103,295,36,37
DRP2,64,88,24,25,82,73,30,9,45,20,6,6,19,39,17,6
TAF7L,8,2,8,26,3,3,24,2,5,25,51,54,1,4,33,31
PBDC1,364,374,201,246,504,464,358,166,442,312,305,324,751,146,278,201
GLA,650,685,1018,661,829,957,1284,781,917,489,1048,1194,763,315,1673,1190
ARMCX3,1048,976,1675,1120,1081,1067,1612,1149,1070,930,1940,2137,580,520,1648,1272
BEX4,316,339,597,456,387,347,747,462,362,196,668,850,292,145,892,704
RUBCNL,0,2,26,74,3,2,15,38,7,0,44,11,7,12,9,14
NALCN,4,14,18,38,9,3,34,30,4,0,30,43,0,4,5,17
FGF14,1,1,1,0,16,4,13,7,1,3,6,12,0,0,12,1
HTR2A,0,0,0,0,0,1,1,0,0,0,2,0,0,0,3,2
NDFIP2,365,601,733,519,571,611,1018,580,515,374,701,757,66,243,595,510
TNFSF13B,28,48,63,21,19,44,58,70,42,93,147,120,14,30,174,78
FNDC3A,1918,2292,1725,1128,2261,2724,2719,1046,1981,1313,1719,1970,299,1328,1591,980
MLNR,0,0,38,15,1,1,22,12,0,0,49,46,0,0,113,84
CDADC1,124,142,114,67,147,98,128,36,103,65,185,137,14,36,126,96
CAB39L,478,523,291,145,591,496,388,152,420,424,213,219,180,206,207,141
KLF5,371,415,876,601,371,397,879,642,501,399,803,986,54,351,867,676
STK24,2222,2624,1949,1459,2743,2706,2180,1971,2718,2510,2204,2801,1168,1717,2791,2123
ACP5,172,248,153,145,175,129,159,116,117,94,80,113,49,36,64,60
DNAJC3,1420,1930,2055,1004,2164,2196,2079,1055,1554,862,1415,2143,565,975,1934,1387
UGGT2,497,450,397,287,889,647,613,194,561,393,336,377,247,400,373,264
ARHGEF7,1061,1124,1215,942,1268,1107,1323,969,1294,962,1045,1023,356,1020,1358,1087
FGF9,1,0,14,0,7,0,1,0,0,0,0,0,0,0,0,1
SGCG,13,11,5,0,7,7,9,0,9,9,13,15,0,2,2,5
PARP4,2587,3002,1414,1249,3071,3142,2064,975,2956,1867,1510,1697,842,2206,1033,835
SUPT20H,632,706,443,453,702,759,609,158,599,427,516,629,299,339,543,298
MRPS31,192,253,131,67,294,256,155,94,227,324,169,167,66,60,184,94
SLC25A15,186,133,217,84,183,150,227,203,141,110,344,275,50,93,356,310
KPNA3,1641,1908,690,489,2205,2183,1223,238,1988,851,665,1122,361,664,774,404
FLT1,3692,4796,4569,3217,4955,5058,5103,3505,5697,3392,4766,5930,2819,3882,5599,4186
RGCC,129,199,222,96,130,116,272,121,64,33,189,233,22,18,254,209
VWA8,213,358,276,385,375,360,344,211,238,142,306,348,66,281,273,201
DGKH,178,261,525,442,292,261,554,290,320,119,779,666,76,239,935,699
KATNAL1,1120,1363,492,262,1187,1340,519,257,1424,767,617,692,278,847,421,274
INTS6,485,667,585,426,664,669,595,272,585,475,685,678,260,534,861,541
ACOD1,0,0,0,0,0,2,1,0,0,21,1,0,0,3,1,2
DHRS12,9,29,56,28,31,55,82,65,37,32,103,92,42,10,90,83
MEDAG,62,64,60,172,61,45,70,39,135,166,122,114,237,161,190,122
TSC22D1,955,999,3769,2597,1168,1116,4150,2774,1100,888,5714,5222,669,950,7377,6398
CLN5,355,430,547,455,452,528,802,529,471,256,733,826,240,120,619,794
OLFM4,20,41,2,0,40,36,5,13,89,95,24,25,18,18,9,5
MSLN,0,2,1,0,6,6,3,3,2,0,0,1,0,1,0,1
MGRN1,1685,1902,2559,1652,1960,1722,2439,2128,2387,1714,3197,3227,543,2195,2538,2252
ZNF629,786,767,787,676,865,831,911,621,957,581,924,992,463,751,939,833
TRADD,200,290,191,189,329,286,219,193,267,251,263,198,137,152,167,173
HSF4,0,5,5,7,5,4,4,7,4,0,0,8,0,5,18,8
CORO1A,83,41,27,1,49,36,25,27,108,20,80,40,58,82,48,68
MAPK3,948,1041,433,319,990,796,438,397,1069,866,524,560,777,838,583,419
GDPD3,11,6,4,0,7,5,1,2,22,16,3,7,52,11,6,6
ELMO3,13,17,15,14,12,18,10,10,10,3,9,25,0,19,18,8
MT4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PHKB,718,723,191,184,727,779,248,87,793,394,170,297,257,309,216,191
LYRM1,203,159,308,199,206,208,355,413,209,38,414,525,105,111,403,283
NUTF2,2303,2897,1534,1168,3066,3033,1884,1083,3076,1784,1911,1890,1508,1246,1705,1603
NUP93,1351,1484,897,999,1573,1653,1038,942,1618,1094,962,1220,1198,924,1000,1024
CENPT,578,641,775,623,719,585,885,689,786,571,1057,1089,426,434,1148,923
TSNAXIP1,9,12,2,0,10,10,3,5,6,0,11,3,0,20,5,13
NFAT5,1867,2317,1643,1304,2071,1813,1618,1046,1902,646,1061,1899,284,2701,1209,773
LONP2,1819,1590,1316,834,1681,1668,1321,807,1783,1620,1329,1450,447,1199,1148,1071
N4BP1,1143,1844,798,778,1586,1673,1031,978,1671,1073,1484,1211,628,1398,1239,976
CBLN1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
ARL2BP,1176,1405,347,362,1231,1364,643,175,1384,1078,516,692,409,577,514,381
PLLP,15,10,15,73,36,5,39,44,16,6,43,34,9,27,95,49
ZNF423,1,2,237,117,4,5,169,140,15,0,211,335,0,5,233,222
CCL22,2,8,13,0,6,3,5,4,1,0,6,13,7,6,7,4
DHODH,101,204,29,27,171,127,21,24,219,167,51,84,104,144,65,46
CCL17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CTCF,1066,1280,866,604,1397,1309,1117,675,1517,766,1019,1126,706,1010,1061,862
ACD,281,329,229,174,326,291,243,193,499,343,427,422,308,232,686,599
POLR2C,1094,1205,864,857,1385,1226,1101,826,1300,841,1136,1099,594,666,1017,880
PARD6A,0,9,8,0,7,8,10,22,14,24,10,23,5,5,30,29
ZNF821,42,45,89,25,47,66,98,44,48,6,150,110,26,42,224,191
MMP15,195,199,1729,1328,208,209,1377,1229,283,197,1820,1832,137,199,1725,1814
USB1,1542,1645,1533,1405,1633,1655,2003,1529,2031,1262,2288,2295,776,1260,2263,2215
CYB5B,1829,2191,2040,1560,2195,1970,2185,1414,2185,1318,2276,2524,703,974,2322,2025
CCDC113,82,116,11,13,107,86,18,4,80,119,18,18,51,40,17,6
PRSS54,0,0,0,0,0,0,0,0,0,0,1,1,0,0,6,4
NME3,163,198,69,97,272,251,67,69,171,181,81,76,112,101,75,79
NDRG4,174,206,262,487,233,264,193,263,201,184,271,257,65,74,172,122
PSMD7,1646,1782,1105,974,2102,1959,1412,1102,2132,1400,1331,1396,1906,815,1389,1063
SETD6,70,91,124,127,96,116,155,109,130,69,162,176,80,91,158,138
SLC38A7,912,1045,1193,894,1048,899,1121,793,1213,1373,1509,1412,819,908,1334,1117
VAC14,916,802,1183,1204,834,774,1150,929,1117,579,1767,1531,958,855,1598,1544
HAS3,15,12,152,116,24,20,132,76,32,28,342,539,8,21,210,220
TANGO6,308,326,193,265,436,374,224,122,403,419,160,302,175,299,198,126
COG4,1003,1087,1493,1170,1075,1124,1409,1152,1211,950,1634,1821,664,684,1723,1590
SMPD3,8,26,78,55,20,42,73,139,10,0,101,130,6,31,143,188
SLC7A6OS,260,286,223,159,305,247,202,157,414,109,200,191,199,170,195,96
SLC7A6,1138,1151,1358,589,994,1055,1023,539,1533,1090,1477,1904,398,1536,1108,868
